Company,    Valuation_$Bn    ,Date_Joined,Industry,City,Country,Continent,Year Founded,    Funding_$Bn    ,Select Investors
Gauntlet Networks,1.00 ,3/7/2022,Fintech,New York,United States,North America,2018,0.05 ,"Polychain Capital, Paradigm, Ribbit Capital"
Geek+,1.00 ,11/21/2018,Hardware,Beijing,China,Asia,2015,0.44 ,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus"
Gelato,1.00 ,8/16/2021,E-commerce ,Oslo,Norway,Europe,2007,0.27 ,"Greylock Partners, Google Ventures, BlackRock"
Glia,1.00 ,3/21/2022,Fintech,New York,United States,North America,2012,0.15 ,"Wildcat Capital Management, Insight Partners, Tola Capital"
GO1,1.00 ,7/19/2021,Internet software ,Brisbane,Australia,Oceania,2015,0.28 ,"Y Combinator, M12, SEEK"
Groq,1.00 ,4/14/2021,Artificial intelligence,Mountain View,United States,North America,2016,0.36 ,"TDK Ventures, Social Capital, D1 Capital Partners"
Hailo,1.00 ,10/12/2021,Artificial intelligence,Tel Aviv,Israel,Asia,2017,0.22 ,"Glory Ventures, Maniv Mobility"
Haomao.AI,1.00 ,12/22/2021,Artificial Intelligence,Beijing,China,Asia,2019,0.16 ,"Qualcomm Ventures, Nine Intelligence Capital, Hillhouse Capital Management"
Hasura,1.00 ,2/22/2022,Internet software ,Bengaluru,India,Asia,2017,0.14 ,"Nexus Venture Partners, Vertex Ventures, STRIVE"
HAYDON,1.00 ,9/24/2021,Consumer ,Shanghai,China,Asia,2020,0.10 ,"Tencent Holdings, Hillhouse Capital Management"
Heyday,1.00 ,11/16/2021,E-commerce ,Chicago,United States,North America,2017,0.80 ,"Khosla Ventures,General Catalyst, Victory Park Capital"
HMD Global,1.00 ,5/21/2018,Mobile ,Espoo,Finland,Europe,2016,0.33 ,Ginko Ventures
Hotmart,1.00 ,3/17/2020,E-commerce ,Amsterdam,Netherlands,Europe,2011,0.13 ,"Technology Crossover Ventures, Alkeon Capital Management, General Atlantic"
Huike Group,1.00 ,5/24/2018,Edtech,Beijing,China,Asia,2010,0.30 ,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co."
Human Interest,1.00 ,8/4/2021,Fintech,San Francisco,United States,North America,2015,0.34 ,"Wing Venture Capital, Slow Ventures, Uncork Capital"
Ibotta,1.00 ,8/6/2019,Fintech,Denver,United States,North America,2011,0.09 ,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital"
iCarbonX,1.00 ,4/12/2016,Artificial intelligence,Shenzhen,China,Asia,2015,0.20 ,"Tencent, Vcanbio"
iFood,1.00 ,11/13/2018,Supply chain,Osasco,Brazil,South America,2011,0.59 ,"Movile, Just Eat, Naspers"
InFarm,1.00 ,12/16/2021,Other,Berlin,Germany,Europe,2013,0.60 ,"Atomico, Hanaco Venture Capital, TriplePoint Capital"
Infobip,1.00 ,7/30/2020,Mobile ,Vodnjan,Croatia,Europe,2006,0.20 ,One Equity Partners
Injective Protocol,1.00 ,4/20/2021,Fintech,New York,United States,North America,2018,0.02 ,"Pantera Capital, Cadenza Ventures, BlockTower Capital"
Intellifusion,1.00 ,3/22/2019,Artificial intelligence,Shenzhen,China,Asia,2014,0.17 ,"BOC International, TopoScend Capital, Hongxiu VC"
Interos,1.00 ,7/22/2021,Fintech,Arlington,United States,North America,2005,0.14 ,"Kleiner Perkins Caufield & Byers, NightDragon Security, Venrock"
Iodine Software,1.00 ,12/1/2021,Data management ,Austin,United States,North America,2010,0.17 ,"Advent International, Bain Capital Ventures, Silversmith Capital Partners"
JoyTunes,1.00 ,6/21/2021,Edtech,Tel Aviv,Israel,Asia,2011,0.09 ,"Genesis Partners, Aleph, Insight Partners"
Kendra Scott,1.00 ,12/21/2016,Consumer ,Austin,United States,North America,2002,0.31 ,"Berkshire Partners, Norwest Venture Partners"
Kitopi,1.00 ,7/1/2021,Supply chain,Dubai,United Arab Emirates,Asia,2018,0.50 ,"CE-Ventures, BECO Capital, Nordstar"
KnowBox,1.00 ,5/30/2019,Edtech,Beijing,China,Asia,2014,0.31 ,"TAL Education Group, Legend Star, Alibaba Group"
Kopi Kenangan,1.00 ,12/27/2021,Consumer ,Jakarta,Indonesia,Asia,2017,0.33 ,"Horizons Ventures, Sequoia Capital India, Alpha JWC Ventures"
Lamabang,1.00 ,3/6/2015,E-commerce ,Shenzhen,China,Asia,2011,0.13 ,"5Y Capital, Matrix Partners China, K2VC"
LayerZero Labs,1.00 ,3/30/2022,Internet software ,New York,United States,North America,2021,0.14 ,"Andreessen Horowitz, FTX Ventures, Tiger Global Management"
Lessen,1.00 ,11/30/2021,Internet software ,Scottsdale,United States,North America,2019,0.21 ,"Khosla Ventures, General Catalyst, Navitas Capital"
LetsGetChecked,1.00 ,6/7/2021,Health,Dublin,Ireland,Europe,2015,0.26 ,"Optum Ventures, Qiming Venture Partners, Transformation Capital"
